Brand,Model,Serial,Mechanical,Cosmetic,Kamerastore,Weighted Price,Sold Price,Comment
Nikon,F50,2922618,5,4,600,540,,
Nikon,F50,3123138,5,4,600,540,,
Nikon,F50,3093313,5,4,600,540,,
Nikon,F50,2556988,5,4,600,540,,
Nikon,F50,2020157,5,4,600,540,,
Nikon,F50,2360025,5,4,600,540,,
Nikon,F50,2341263,5,4,600,540,,
Nikon,F50,2928255,5,4,600,540,,
Nikon,F60,2522986,5,4,1000,900,,
Nikon,F60,2149522,5,4,1000,900,,
Nikon,F60,2096295,0,3,1000,300,,"AF OK, ERR in display"
Nikon,F70,2809340,5,4,500,450,,
Nikon,F55,2055789,3,4,600,420,,
Nikon,F65,2527243,3,4,700,490,,
Nikon,F301,3342132,3,4,900,630,,
Nikon,F301,2955472,3,4,900,630,,
Nikon,F301,2568899,3,4,900,630,,
Nikon,F301,2508448,3,4,900,630,,
Nikon,F401s,5517033,3,4,600,420,,Battery lock broken
Nikon,F401s,2511468,3,4,600,420,,
Nikon,F401x,2022441,3,4,800,560,,
Nikon,N4004,2079397,3,4,500,350,,
Nikon,F601,2182484,3,4,700,490,,
Nikon,F601,2360658,3,4,700,490,,Film door lock broken
Nikon,F801s,3229050,5,4,1000,900,,
Nikon,F801,2437351,5,4,1000,900,,
Nikon,F90x,2534390,4,5,1300,1170,,
Nikon,F,7272958,4,3,4000,2800,,
Nikon,F2,7252407,3,3,5000,3000,,
Nikon,F3,1459208,5,3,4500,3600,,
Nikon,F4,2114284,5,4,4000,3600,,
Nikomat,FT,3161384,4,4,1000,800,,
Nikkormat,FT,3229881,4,4,1000,800,,
Nikomat,FTN,5472105,4,4,1000,800,,
Nikkormat,FTN,3688104,4,2,1000,600,,
Nikkormat,FTN,3760590,4,4,1000,800,,
Nikkormat,EL,5514820,5,5,1000,1000,,
Nikon,FM,3485221,0,2,100,20,,Donor body
Nikon,FE,4218235,4,4,3300,2640,,
Nikon,FE,4128061,4,5,3300,2970,,
Nikon,FM,2352906,5,5,3000,3000,,
Nikon,FM,3320363,5,4,3000,2700,,
Nikon,EM,7833953,5,5,1250,1250,,
Nikon,EM,7839441,5,5,1250,1250,,
Nikon,EM,7550797,5,5,1250,1250,,
Nikon,EM,6682600,1,4,1250,625,,Donor body
Nikon,FG,8544315,4,4,2200,1760,,Cracked mirror
Nikon,L35AF2,6533005,0,3,,0,,
Nikon,L35AW,2044375,3,4,3100,2170,,Flash selector broken
Nikon,D7001,,,,,0,,
Nikon,F70,2040678,4,4,,0,,
Nikon,F75,2072086,1,5,,0,,Battery lid missing
Minox,35 GT,5331838,,5,,0,,
Minox,35 EL,3541247,,4,,0,,
Minox,35GL,4261578,0,4,,0,,"Stuck, cables borken"
Minox,35GL,4232526,2,4,,0,,
Rolleicord,III,,4,4,3500,2800,,
Rolleicord,V,,3,4,6000,4200,,
Yashica,Yashica-Mat,,4,4,3000,2400,,
Yashica,LM,,4,4,2000,1600,,
Reflekta,II,,1,3,,0,,
Meopta,Flexaret,,4,2,,0,,
Yashica,Electro 35,,5,5,1000,1000,,
Yashica,Electro 35,,5,5,1000,1000,,
Yashica,Electro 35,,4,5,1000,900,,
Yashica,Electro 35,,4,5,1000,900,,
Yashica,Electro 35,,4,4,1000,800,,
Yashica,Electro 35,,3,4,1000,700,,
Yashica,Electro 35,,3,4,1000,700,,
Yashica,Electro 35,,2,3,1000,500,,
Yashica,Electro 35,,2,3,1000,500,,
Yashica,Electro 35,,1,2,1000,300,,
Yashica,Minister D,,4,4,800,640,,
Yashica,Minister D,,4,4,800,640,,
Yashica,Minister D,,4,4,800,640,,
Yashica,Minister D,,4,4,800,640,,
Nikon,L35 TW AF,,3,5,1000,800,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
